N,ln_N,G_N,HL_N,delta
49904,10.817856,350,375.749,-0.068527
50004,10.819858,693,1003.6338,-0.309509
50104,10.821856,339,376.9761,-0.100739
50204,10.82385,473,523.0675,-0.095719
50304,10.82584,688,1008.5397,-0.317826
50404,10.827826,353,378.8152,-0.068147
50504,10.829808,349,379.4279,-0.080194
50604,10.831786,690,1013.4408,-0.319151
50704,10.83376,354,380.6525,-0.070018
50804,10.83573,367,418.8336,-0.123757
50904,10.837697,850,1256.919,-0.323743
51004,10.839659,360,382.4881,-0.058794
51104,10.841618,363,383.0995,-0.052466
51204,10.843573,750,1095.7242,-0.315521
51304,10.845524,396,431.3377,-0.081926
51404,10.847471,358,384.9327,-0.069967
51504,10.849415,779,1028.1158,-0.242303
51604,10.851354,454,506.2234,-0.103163
51704,10.85329,378,386.7642,-0.02266
51804,10.855223,710,1032.9981,-0.31268
51904,10.857151,363,387.9842,-0.064395
52004,10.859076,365,388.5939,-0.060716
52104,10.860997,791,1140.1457,-0.306229
52204,10.862914,383,389.8127,-0.017477
52304,10.864828,439,481.8921,-0.089008
52404,10.866738,787,1170.3129,-0.32753
52504,10.868645,348,391.6396,-0.111428
52604,10.870547,361,392.2481,-0.079664
52704,10.872447,721,1047.6174,-0.311772
52804,10.874342,369,393.4647,-0.062178
52904,10.876234,382,421.9926,-0.094771
53004,10.878123,874,1299.0627,-0.327207
53104,10.880008,373,395.2881,-0.056385
53204,10.881889,383,395.8956,-0.032573
53304,10.883767,730,1057.3409,-0.309589
53404,10.885641,396,436.2403,-0.092243
53504,10.887512,424,474.0916,-0.105658
53604,10.889379,745,1062.196,-0.298623
53704,10.891243,428,492.3936,-0.130777
53804,10.893103,366,399.5363,-0.083938
53904,10.89496,738,1067.0466,-0.308371
54004,10.896813,398,400.7484,-0.006858
54104,10.898663,371,401.3542,-0.07563
54204,10.90051,735,1071.8929,-0.314297
54304,10.902353,370,402.5652,-0.080894
54404,10.904193,471,497.6276,-0.053509
54504,10.906029,754,1076.7347,-0.299735
54604,10.907862,451,486.0052,-0.072026
54704,10.909692,431,444.8914,-0.031224
54804,10.911518,736,1081.5723,-0.319509
54904,10.913341,378,406.1939,-0.06941
55004,10.915161,361,406.7981,-0.112582
55104,10.916978,916,1340.9348,-0.316894
55204,10.918791,377,408.0059,-0.075994
55304,10.920601,389,408.6095,-0.047991
55404,10.922407,777,1159.0019,-0.329596
55504,10.92421,363,409.8162,-0.114237
